id,intitule,entreprise,lieu,departement,contrat,experience,salaire,date_publication,rome,competences,url
213PTYT,#FORUMMOUGINS2026 Chargé de marketing digital  (H/F),STAND TANCO & CO,06 - MOUGINS,06,CDD,Débutant accepté,,2026-09-09,M1718,Marketing des réseaux sociaux | Concevoir des supports de communication et d'image | Effectuer un reporting régulier à la hiérarchie | Concevoir des visuels pour des campagnes publicitaires | Optimiser la visibilité des publications sur les réseaux sociaux,https://candidat.francetravail.fr/offres/recherche/detail/213PTYT
213NPQQ,Coordinateur/trice en communication et marketing digital - 16h (H/F),ASS CENT VEDANT RAMAKRICHNA,77 - GRETZ-ARMAINVILLIERS,77,CDI,Débutant accepté,Mensuel de 900.0 Euros,2026-09-08,M1718,Analyser les besoins des utilisateurs pour la création de contenus multimédias | Concevoir des supports de communication et d'image | Mesurer le retour sur investissement d'une action marketing | Optimiser la visibilité des publications sur les réseaux sociaux | Savoir gérer plusieurs projets ou activités simultanément,https://candidat.francetravail.fr/offres/recherche/detail/213NPQQ
213MNWG,Alternance - Assistant(e) Marketing Digital F/H (H/F),PARIS FASHION SHOPS - PFS,93 - ST DENIS,93,CDI,Débutant accepté,Mensuel de 1138.88 Euros à 1867.0 Euros,2026-09-07,M1620,Analyser les performances de l'équipe et proposer des améliorations | Mettre en place des solutions d'amélioration de la performance,https://candidat.francetravail.fr/offres/recherche/detail/213MNWG
213GXCL,Chargé / Chargée marketing digital (H/F),EDITIONS TECHNIQUES POUR L'AUTOMOBILE ET,94 - GENTILLY,94,CDI,2 An(s),,2026-09-02,M1718,Concevoir des supports de communication et d'image | Optimiser la visibilité des publications sur les réseaux sociaux | Savoir gérer plusieurs projets ou activités simultanément | Analyser les besoins des utilisateurs pour la création de contenus multimédias | Mesurer le retour sur investissement d'une action marketing,https://candidat.francetravail.fr/offres/recherche/detail/213GXCL
213GCBP,Chargé / Chargée marketing digital (H/F),LEAD & CONNECT,69 - Saint-Genis-Laval,69,CDI,1 Mois,,2026-09-01,M1718,Concevoir des supports de communication et d'image | Optimiser la visibilité des publications sur les réseaux sociaux | Savoir gérer plusieurs projets ou activités simultanément | Analyser les besoins des utilisateurs pour la création de contenus multimédias | Mesurer le retour sur investissement d'une action marketing,https://candidat.francetravail.fr/offres/recherche/detail/213GCBP
212ZWMT,Chargé / Chargée marketing digital (H/F),MELITTA FRANCE,93 - Saint-Denis,93,CDD,2 An(s),Annuel de 30000.0 Euros à 34000.0 Euros,2026-08-27,M1718,Concevoir des supports de communication et d'image | Optimiser la visibilité des publications sur les réseaux sociaux | Savoir gérer plusieurs projets ou activités simultanément | Analyser les besoins des utilisateurs pour la création de contenus multimédias | Mesurer le retour sur investissement d'une action marketing,https://candidat.francetravail.fr/offres/recherche/detail/212ZWMT
212ZCLW,Chargé(e) de Marketing Digital (H/F),ASSOCIATION IMC ALTERNANCE,93 - ST DENIS,93,CDD,1 An(s),Mensuel de 800.0 Euros à 1824.0 Euros sur 12.0 mois,2026-08-27,M1718,Marketing des réseaux sociaux | Concevoir des supports de communication et d'image | Concevoir des visuels pour des campagnes publicitaires | Effectuer un reporting régulier à la hiérarchie | Optimiser la visibilité des publications sur les réseaux sociaux,https://candidat.francetravail.fr/offres/recherche/detail/212ZCLW
212XYYW,Chargé de Marketing Digital/Réseaux Sociaux (H/F),,93 - Noisy-le-Grand,93,CDI,1 An(s),Mensuel de 2100.0 Euros,2026-08-26,M1718,Marketing des réseaux sociaux | Effectuer un reporting régulier à la hiérarchie | Concevoir des supports de communication et d'image | Concevoir des visuels pour des campagnes publicitaires | Optimiser la visibilité des publications sur les réseaux sociaux,https://candidat.francetravail.fr/offres/recherche/detail/212XYYW
212VWGG,Chargés de marketing digital (H/F),PERFHOMME Lyon,69 - Lyon 3e Arrondissement,69,CDI,2 An(s),Annuel de 30000.0 Euros à 45000.0 Euros sur 12 mois,2026-08-24,M1718,Concevoir des supports de communication et d'image | Optimiser la visibilité des publications sur les réseaux sociaux | Savoir gérer plusieurs projets ou activités simultanément | Analyser les besoins des utilisateurs pour la création de contenus multimédias | Mesurer le retour sur investissement d'une action marketing,https://candidat.francetravail.fr/offres/recherche/detail/212VWGG
212QXGL,Chargé / Chargée marketing digital (H/F),ASTEELFLASH EUROPE,92 - Saint-Cloud,92,CDD,Débutant accepté,,2026-08-19,M1718,Concevoir des supports de communication et d'image | Optimiser la visibilité des publications sur les réseaux sociaux | Savoir gérer plusieurs projets ou activités simultanément | Analyser les besoins des utilisateurs pour la création de contenus multimédias | Mesurer le retour sur investissement d'une action marketing,https://candidat.francetravail.fr/offres/recherche/detail/212QXGL
